Age,Monthly_Income,Years_at_Company,Gender,Department,Job_Role,Distance_From_Home,Job_Satisfaction,Work_Life_Balance,Years_Since_Last_Promotion,Overtime,Attrition
40,12800,16,Female,R&D,Manager,12,4,4,1,No,No
52,14371,8,Female,R&D,Analyst,11,4,3,1,No,No
31,4494,1,Female,HR,Sales Rep,45,1,1,9,Yes,Yes
50,8046,12,Female,Finance,Engineer,7,3,4,1,No,No
23,5748,0,Female,Finance,Executive,47,1,1,8,Yes,Yes
38,11004,18,Female,R&D,Analyst,14,3,4,0,No,No
28,3982,0,Male,Sales,Sales Rep,43,1,1,8,Yes,Yes
35,17312,5,Female,Sales,Analyst,2,3,4,1,No,No
27,5900,3,Male,Finance,Executive,42,1,1,7,Yes,Yes
41,19969,19,Female,Finance,Manager,11,3,4,0,No,No
46,17398,11,Male,HR,Executive,13,4,4,1,No,No
48,14002,17,Male,Finance,Manager,14,3,4,2,No,No
29,7326,0,Male,R&D,Executive,42,1,1,5,Yes,Yes
23,5131,2,Female,R&D,Executive,37,1,1,7,Yes,Yes
38,8593,19,Female,HR,Manager,11,3,4,0,No,No
52,15581,6,Male,Sales,Manager,12,4,4,1,No,No
21,5620,2,Male,HR,Executive,27,1,1,4,Yes,Yes
40,9228,3,Female,Finance,Executive,14,3,4,0,No,No
34,5701,2,Male,Finance,Analyst,47,1,1,8,Yes,Yes
31,4394,3,Male,Finance,Executive,31,1,1,4,Yes,Yes
52,12569,12,Female,Finance,Executive,1,3,3,0,No,No
28,6208,1,Male,Finance,Executive,37,1,1,7,Yes,Yes
46,15643,11,Male,Finance,Executive,7,4,3,1,No,No
31,11256,16,Female,Finance,Analyst,11,3,4,2,No,No
52,9625,17,Male,HR,Analyst,6,3,4,2,No,No
50,9205,4,Female,R&D,Manager,3,3,3,1,No,No
29,4627,2,Female,Finance,Analyst,42,1,1,5,Yes,Yes
31,6988,20,Female,R&D,Engineer,14,4,3,1,No,No
26,6993,0,Female,Sales,Sales Rep,38,1,1,4,Yes,Yes
22,4479,0,Male,R&D,Executive,42,1,1,8,Yes,Yes
51,14368,3,Male,Sales,Executive,13,3,3,2,No,No
21,7266,0,Female,Sales,Executive,48,1,1,8,Yes,Yes
34,19833,8,Male,R&D,Analyst,3,3,4,0,No,No
24,6900,3,Female,Sales,Sales Rep,38,1,1,7,Yes,Yes
40,6411,18,Male,Sales,Engineer,13,3,4,0,No,No
22,7339,3,Female,Sales,Analyst,32,1,1,6,Yes,Yes
53,8871,12,Female,HR,Analyst,13,3,3,2,No,No
35,11912,16,Male,Finance,Analyst,1,4,4,1,No,No
25,7641,24,Female,R&D,Engineer,2,4,4,1,No,No
26,3408,2,Male,HR,Executive,27,1,1,9,Yes,Yes
28,5703,2,Male,R&D,Analyst,45,1,1,5,Yes,Yes
24,5364,0,Female,Sales,Analyst,32,1,1,7,Yes,Yes
33,3336,2,Male,R&D,Analyst,47,1,1,6,Yes,Yes
33,5281,3,Female,Finance,Sales Rep,49,1,1,7,Yes,Yes
39,18159,10,Male,Finance,Executive,8,4,4,2,No,No
31,18462,12,Male,Sales,Executive,2,3,3,2,No,No
31,18342,24,Female,Finance,Manager,6,4,3,2,No,No
21,3261,3,Female,R&D,Sales Rep,33,1,1,5,Yes,Yes
22,3625,2,Female,HR,Analyst,37,1,1,5,Yes,Yes
33,4121,1,Female,Finance,Sales Rep,40,1,1,5,Yes,Yes
32,6441,0,Male,Sales,Executive,48,1,1,5,Yes,Yes
39,14504,24,Male,Finance,Manager,4,4,4,2,No,No
33,3218,3,Male,HR,Sales Rep,38,1,1,7,Yes,Yes
34,16044,17,Female,Sales,Executive,2,4,3,0,No,No
26,4578,0,Female,Sales,Analyst,27,1,1,7,Yes,Yes
29,6936,1,Female,HR,Analyst,41,1,1,9,Yes,Yes
54,16377,22,Male,HR,Executive,14,3,4,0,No,No
26,18303,16,Female,R&D,Engineer,2,4,4,0,No,No
21,6446,2,Male,Sales,Analyst,40,1,1,4,Yes,Yes
30,5136,3,Male,Sales,Executive,26,1,1,5,Yes,Yes
44,18938,24,Male,R&D,Engineer,10,4,3,0,No,No
25,3558,0,Female,R&D,Executive,34,1,1,7,Yes,Yes
20,4730,1,Male,R&D,Executive,37,1,1,5,Yes,Yes
36,18526,8,Male,Finance,Engineer,10,3,3,0,No,No
31,8523,16,Male,HR,Engineer,4,4,4,0,No,No
32,6028,1,Male,Sales,Executive,32,1,1,6,Yes,Yes
25,16514,15,Female,R&D,Manager,6,4,3,0,No,No
34,7214,3,Female,R&D,Sales Rep,46,1,1,6,Yes,Yes
54,10443,19,Male,R&D,Engineer,14,4,3,0,No,No
36,16686,3,Male,Sales,Engineer,6,4,4,1,No,No
43,16414,3,Male,R&D,Engineer,13,4,3,0,No,No
31,4835,0,Male,Finance,Sales Rep,37,1,1,5,Yes,Yes
27,16810,11,Female,Finance,Engineer,14,4,4,0,No,No
26,5878,1,Male,HR,Analyst,31,1,1,4,Yes,Yes
32,5659,1,Male,Finance,Executive,31,1,1,4,Yes,Yes
39,9940,20,Male,R&D,Engineer,5,3,4,2,No,No
43,13793,8,Male,Finance,Engineer,7,3,3,2,No,No
47,6188,20,Male,HR,Analyst,8,4,4,0,No,No
33,12410,7,Female,HR,Analyst,11,4,4,1,No,No
24,5409,1,Male,Finance,Analyst,34,1,1,5,Yes,Yes
52,18397,18,Male,HR,Executive,13,4,4,0,No,No
23,6728,1,Female,R&D,Sales Rep,36,1,1,5,Yes,Yes
33,17051,22,Male,Finance,Manager,6,3,4,1,No,No
54,13778,19,Male,Finance,Engineer,14,3,4,0,No,No
26,6238,1,Female,R&D,Analyst,44,1,1,9,Yes,Yes
20,5572,1,Female,Finance,Analyst,40,1,1,8,Yes,Yes
20,5961,2,Female,HR,Sales Rep,27,1,1,6,Yes,Yes
32,16015,4,Female,Finance,Analyst,7,4,4,1,No,No
34,4578,2,Male,Sales,Sales Rep,47,1,1,4,Yes,Yes
40,18026,6,Female,R&D,Executive,13,4,4,2,No,No
21,3479,2,Female,Sales,Analyst,32,1,1,7,Yes,Yes
48,17062,11,Male,Finance,Executive,8,3,4,2,No,No
21,6079,2,Male,HR,Executive,37,1,1,5,Yes,Yes
33,5485,2,Male,Sales,Analyst,47,1,1,6,Yes,Yes
26,11423,14,Male,Sales,Analyst,11,3,3,0,No,No
29,6529,2,Female,R&D,Executive,29,1,1,7,Yes,Yes
24,4013,3,Female,Finance,Analyst,32,1,1,8,Yes,Yes
30,7129,3,Male,Sales,Sales Rep,38,1,1,4,Yes,Yes
43,8370,20,Male,Sales,Analyst,12,3,3,2,No,No
49,6864,15,Female,HR,Analyst,10,3,3,0,No,No
25,19682,17,Male,Finance,Analyst,8,3,3,0,No,No
21,7134,1,Male,R&D,Sales Rep,46,1,1,5,Yes,Yes
32,4407,0,Male,R&D,Sales Rep,43,1,1,4,Yes,Yes
50,9469,18,Male,R&D,Executive,2,4,4,2,No,No
23,5298,0,Female,HR,Executive,37,1,1,7,Yes,Yes
34,6091,1,Male,HR,Analyst,30,1,1,9,Yes,Yes
26,3732,0,Male,HR,Sales Rep,25,1,1,7,Yes,Yes
33,4792,1,Male,R&D,Analyst,37,1,1,5,Yes,Yes
42,17111,3,Male,R&D,Manager,9,4,3,2,No,No
34,3377,1,Female,Finance,Analyst,36,1,1,6,Yes,Yes
51,16695,17,Female,HR,Analyst,11,4,3,2,No,No
33,15339,8,Female,Sales,Executive,4,4,3,2,No,No
45,18528,12,Male,HR,Engineer,3,3,3,2,No,No
22,6274,0,Male,Sales,Analyst,41,1,1,4,Yes,Yes
35,19594,11,Female,HR,Analyst,10,3,4,0,No,No
45,13040,19,Male,R&D,Analyst,4,3,4,1,No,No
52,10777,24,Male,HR,Manager,5,3,4,1,No,No
20,7877,1,Male,R&D,Analyst,40,1,1,9,Yes,Yes
25,3461,3,Male,Finance,Sales Rep,41,1,1,8,Yes,Yes
29,3146,1,Male,Finance,Analyst,42,1,1,6,Yes,Yes
42,15852,15,Male,Sales,Analyst,13,4,3,1,No,No
36,16950,9,Male,Sales,Executive,6,3,3,2,No,No
34,7631,1,Male,R&D,Sales Rep,30,1,1,5,Yes,Yes
34,7683,1,Male,R&D,Executive,35,1,1,4,Yes,Yes
21,3446,2,Female,R&D,Analyst,31,1,1,9,Yes,Yes
52,14461,12,Female,R&D,Engineer,10,3,3,1,No,No
38,15325,18,Female,HR,Manager,4,3,3,0,No,No
39,8458,14,Male,R&D,Analyst,14,3,3,2,No,No
33,4028,0,Male,Sales,Sales Rep,30,1,1,6,Yes,Yes
54,10392,6,Male,Finance,Analyst,7,4,4,0,No,No
34,6489,3,Female,R&D,Executive,48,1,1,5,Yes,Yes
23,4149,2,Female,HR,Analyst,29,1,1,7,Yes,Yes
29,19794,12,Male,HR,Executive,2,3,3,0,No,No
31,7664,3,Male,R&D,Executive,25,1,1,9,Yes,Yes
40,17035,22,Male,Finance,Manager,4,3,3,1,No,No
22,3937,2,Female,Finance,Sales Rep,35,1,1,9,Yes,Yes
23,5410,3,Male,Finance,Analyst,37,1,1,8,Yes,Yes
49,19288,24,Female,HR,Executive,1,4,3,0,No,No
20,6592,0,Male,R&D,Executive,28,1,1,7,Yes,Yes
48,18700,10,Male,HR,Manager,3,4,4,2,No,No
49,19675,13,Male,Finance,Analyst,10,4,4,0,No,No
29,4538,3,Female,R&D,Executive,30,1,1,6,Yes,Yes
32,13656,15,Male,R&D,Manager,3,3,3,0,No,No
53,18251,14,Male,HR,Engineer,1,4,3,1,No,No
50,18231,23,Male,R&D,Manager,6,4,3,0,No,No
25,6275,2,Female,Finance,Analyst,43,1,1,8,Yes,Yes
46,11690,11,Female,R&D,Manager,10,3,3,1,No,No
49,10890,13,Male,Sales,Executive,3,3,4,0,No,No
50,8196,4,Female,R&D,Engineer,3,4,3,0,No,No
31,8939,24,Female,R&D,Engineer,11,4,4,2,No,No
33,19621,11,Male,Sales,Manager,6,4,3,0,No,No
34,5409,0,Female,Sales,Sales Rep,32,1,1,4,Yes,Yes
34,3036,0,Male,R&D,Executive,48,1,1,4,Yes,Yes
29,15710,24,Male,HR,Manager,7,3,4,2,No,No
53,17571,18,Male,Sales,Analyst,11,3,3,0,No,No
20,7404,3,Male,Finance,Analyst,49,1,1,6,Yes,Yes
54,12155,18,Female,Finance,Manager,4,3,3,2,No,No
33,3643,1,Male,Finance,Analyst,33,1,1,9,Yes,Yes
39,18258,7,Male,Finance,Executive,8,3,4,2,No,No
23,4573,1,Male,Sales,Analyst,32,1,1,7,Yes,Yes
32,12928,7,Male,R&D,Analyst,13,4,4,1,No,No
45,9350,22,Female,Sales,Engineer,3,3,4,0,No,No
25,6966,2,Male,Finance,Sales Rep,33,1,1,5,Yes,Yes
23,5632,3,Female,HR,Sales Rep,43,1,1,9,Yes,Yes
30,7703,3,Female,Sales,Sales Rep,48,1,1,4,Yes,Yes
23,5357,3,Male,Finance,Executive,38,1,1,9,Yes,Yes
31,5185,2,Female,Sales,Executive,42,1,1,4,Yes,Yes
34,4575,3,Female,Finance,Executive,30,1,1,6,Yes,Yes
24,5730,3,Male,R&D,Analyst,39,1,1,6,Yes,Yes
21,6608,3,Female,Finance,Executive,33,1,1,8,Yes,Yes
36,16301,11,Male,Sales,Executive,10,4,4,1,No,No
29,6620,1,Male,Sales,Sales Rep,48,1,1,6,Yes,Yes
32,5754,1,Male,Finance,Sales Rep,49,1,1,5,Yes,Yes
30,7883,3,Female,R&D,Analyst,42,1,1,9,Yes,Yes
36,18199,8,Male,HR,Analyst,11,3,4,2,No,No
25,4698,3,Male,HR,Sales Rep,44,1,1,5,Yes,Yes
26,6208,23,Female,HR,Analyst,9,3,3,2,No,No
27,3803,1,Female,HR,Analyst,28,1,1,8,Yes,Yes
21,6244,3,Female,R&D,Executive,35,1,1,8,Yes,Yes
51,9919,3,Male,HR,Executive,10,4,3,0,No,No
25,5504,1,Male,HR,Analyst,32,1,1,9,Yes,Yes
42,19368,21,Female,Sales,Manager,13,3,4,0,No,No
45,15324,14,Male,R&D,Manager,13,4,3,1,No,No
29,6942,3,Female,R&D,Analyst,26,1,1,9,Yes,Yes
27,5409,1,Female,Finance,Analyst,28,1,1,6,Yes,Yes
42,10304,11,Male,R&D,Manager,8,4,4,0,No,No
30,3791,3,Female,Finance,Sales Rep,38,1,1,6,Yes,Yes
28,16203,16,Female,Sales,Manager,3,3,3,0,No,No
28,11140,23,Female,R&D,Executive,5,3,3,1,No,No
20,7937,2,Female,R&D,Executive,43,1,1,6,Yes,Yes
22,3533,3,Female,Finance,Analyst,28,1,1,6,Yes,Yes
21,5655,2,Male,R&D,Analyst,42,1,1,6,Yes,Yes
52,6031,21,Male,R&D,Executive,4,3,4,1,No,No
37,10748,20,Female,HR,Engineer,4,4,4,0,No,No
39,9623,5,Male,R&D,Manager,11,4,4,2,No,No
36,12312,5,Male,Sales,Manager,6,4,4,0,No,No
51,17159,5,Male,R&D,Executive,2,3,3,2,No,No
33,3156,2,Female,Finance,Analyst,30,1,1,7,Yes,Yes
37,9305,10,Male,HR,Manager,8,4,3,1,No,No
51,11710,15,Male,R&D,Manager,2,4,3,0,No,No
42,16765,17,Female,HR,Analyst,11,3,3,0,No,No
34,3857,0,Female,R&D,Sales Rep,38,1,1,5,Yes,Yes
51,12938,19,Male,Sales,Engineer,9,3,3,0,No,No
26,4377,0,Male,HR,Analyst,36,1,1,4,Yes,Yes
24,5988,2,Male,R&D,Analyst,26,1,1,4,Yes,Yes
26,12766,7,Female,Finance,Analyst,14,3,4,0,No,No
24,6530,2,Female,R&D,Analyst,35,1,1,4,Yes,Yes
37,6010,6,Male,HR,Engineer,5,4,3,1,No,No
23,4748,3,Male,R&D,Sales Rep,43,1,1,6,Yes,Yes
27,19827,8,Male,HR,Engineer,2,4,3,1,No,No
44,6275,10,Female,Finance,Executive,1,4,3,0,No,No
29,11233,6,Female,Sales,Executive,2,4,3,0,No,No
34,6486,0,Male,Finance,Executive,32,1,1,6,Yes,Yes
32,4034,3,Male,R&D,Sales Rep,39,1,1,7,Yes,Yes
37,10935,9,Male,Sales,Engineer,7,4,4,2,No,No
28,14536,14,Male,HR,Manager,13,4,4,2,No,No
30,6084,3,Female,R&D,Analyst,36,1,1,4,Yes,Yes
24,7577,3,Female,Sales,Analyst,25,1,1,8,Yes,Yes
26,14593,23,Female,Sales,Executive,14,4,3,0,No,No
30,17792,16,Male,R&D,Engineer,10,3,3,2,No,No
26,11698,9,Male,R&D,Executive,10,3,4,0,No,No
26,12844,12,Male,Sales,Manager,13,4,3,1,No,No
28,6330,3,Male,R&D,Analyst,38,1,1,7,Yes,Yes
29,4274,1,Male,R&D,Sales Rep,32,1,1,5,Yes,Yes
25,4959,0,Male,Sales,Executive,34,1,1,4,Yes,Yes
39,12280,10,Female,R&D,Analyst,1,4,4,0,No,No
20,4047,1,Female,Finance,Executive,44,1,1,6,Yes,Yes
28,4386,1,Male,Sales,Executive,44,1,1,8,Yes,Yes
54,17295,23,Female,Sales,Manager,6,3,3,0,No,No
26,7939,1,Male,R&D,Sales Rep,43,1,1,8,Yes,Yes
28,4800,2,Female,R&D,Analyst,35,1,1,6,Yes,Yes
32,6432,0,Male,R&D,Sales Rep,33,1,1,4,Yes,Yes
46,13102,19,Male,Sales,Manager,4,3,4,0,No,No
31,5924,3,Female,Sales,Sales Rep,49,1,1,6,Yes,Yes
24,7236,3,Female,Finance,Sales Rep,32,1,1,6,Yes,Yes
23,4064,1,Female,Finance,Sales Rep,29,1,1,9,Yes,Yes
22,3695,1,Female,Sales,Executive,26,1,1,8,Yes,Yes
32,19269,4,Female,R&D,Engineer,4,4,3,2,No,No
25,17273,7,Female,Sales,Executive,10,4,3,2,No,No
52,16573,20,Female,Sales,Engineer,1,3,4,0,No,No
54,9486,24,Female,Sales,Engineer,4,3,3,1,No,No
29,6284,0,Female,HR,Executive,35,1,1,6,Yes,Yes
27,5983,1,Male,Finance,Sales Rep,25,1,1,4,Yes,Yes
25,5550,1,Male,R&D,Sales Rep,40,1,1,8,Yes,Yes
46,17729,18,Male,Finance,Analyst,14,3,3,1,No,No
31,3288,2,Male,Sales,Executive,28,1,1,7,Yes,Yes
29,5645,0,Male,R&D,Sales Rep,46,1,1,5,Yes,Yes
29,3847,3,Male,Sales,Executive,28,1,1,4,Yes,Yes
20,6410,1,Male,HR,Analyst,43,1,1,5,Yes,Yes
37,18171,23,Female,R&D,Engineer,4,4,4,0,No,No
23,3420,0,Female,HR,Executive,31,1,1,6,Yes,Yes
27,6877,1,Female,R&D,Executive,29,1,1,7,Yes,Yes
36,6154,5,Female,Sales,Executive,1,3,4,1,No,No
33,5622,1,Male,Finance,Executive,44,1,1,5,Yes,Yes
38,11301,24,Female,HR,Engineer,10,3,4,0,No,No
39,11240,24,Male,R&D,Engineer,11,3,4,0,No,No
34,3843,1,Male,R&D,Analyst,49,1,1,9,Yes,Yes
22,7009,3,Female,Sales,Analyst,42,1,1,8,Yes,Yes
20,6066,2,Male,HR,Sales Rep,29,1,1,5,Yes,Yes
40,17490,20,Male,Finance,Manager,14,3,3,0,No,No
28,5724,3,Female,HR,Sales Rep,49,1,1,7,Yes,Yes
24,6998,3,Female,HR,Executive,37,1,1,9,Yes,Yes
22,6966,2,Female,HR,Sales Rep,46,1,1,4,Yes,Yes
24,3428,2,Male,Sales,Sales Rep,30,1,1,8,Yes,Yes
28,7920,0,Male,HR,Sales Rep,45,1,1,8,Yes,Yes
42,17667,20,Female,Sales,Executive,11,3,3,1,No,No
23,5226,0,Female,HR,Sales Rep,39,1,1,5,Yes,Yes
26,18614,16,Female,Sales,Executive,5,4,4,1,No,No
27,3275,0,Male,R&D,Sales Rep,45,1,1,5,Yes,Yes
30,3255,2,Male,HR,Analyst,36,1,1,8,Yes,Yes
28,5442,1,Male,R&D,Executive,46,1,1,9,Yes,Yes
33,5910,0,Male,Finance,Sales Rep,33,1,1,6,Yes,Yes
30,9261,12,Male,R&D,Analyst,3,4,3,2,No,No
31,5727,2,Female,Finance,Analyst,33,1,1,7,Yes,Yes
21,3593,3,Female,Finance,Sales Rep,28,1,1,6,Yes,Yes
23,5427,1,Male,HR,Executive,40,1,1,8,Yes,Yes
27,7510,2,Male,Sales,Analyst,28,1,1,7,Yes,Yes
31,8750,8,Male,R&D,Analyst,5,3,3,1,No,No
20,7472,2,Female,Sales,Executive,37,1,1,6,Yes,Yes
20,4974,1,Female,R&D,Analyst,44,1,1,7,Yes,Yes
50,8792,22,Male,Sales,Executive,14,3,3,0,No,No
43,10301,10,Male,R&D,Executive,13,4,3,2,No,No
32,9726,11,Male,R&D,Engineer,4,4,3,0,No,No
36,8939,16,Male,R&D,Analyst,2,3,3,2,No,No
42,17885,20,Male,HR,Analyst,6,3,4,1,No,No
33,5129,1,Male,Finance,Executive,27,1,1,8,Yes,Yes
44,18648,21,Female,R&D,Analyst,9,4,3,0,No,No
29,13099,15,Female,HR,Engineer,10,3,4,0,No,No
34,7965,0,Male,HR,Analyst,33,1,1,6,Yes,Yes
22,5815,1,Female,R&D,Analyst,37,1,1,6,Yes,Yes
44,9106,3,Male,Finance,Manager,13,4,3,1,No,No
33,3864,2,Female,Sales,Analyst,25,1,1,4,Yes,Yes
20,4296,1,Female,Sales,Sales Rep,39,1,1,5,Yes,Yes
54,10744,23,Female,Finance,Executive,14,4,4,0,No,No
21,6445,0,Female,HR,Sales Rep,27,1,1,7,Yes,Yes
29,5462,0,Female,R&D,Sales Rep,30,1,1,9,Yes,Yes
30,6938,19,Female,Finance,Engineer,6,3,3,1,No,No
54,19346,22,Female,HR,Analyst,4,3,4,0,No,No
26,5250,2,Male,R&D,Executive,42,1,1,7,Yes,Yes
29,6998,0,Female,Sales,Executive,27,1,1,7,Yes,Yes
26,5126,0,Female,HR,Sales Rep,28,1,1,8,Yes,Yes
25,4068,3,Male,HR,Sales Rep,34,1,1,4,Yes,Yes
36,6957,24,Female,HR,Engineer,3,4,4,1,No,No
54,13950,5,Male,R&D,Manager,2,4,3,2,No,No
31,13105,16,Male,HR,Executive,10,3,3,1,No,No
31,4186,1,Female,Sales,Analyst,35,1,1,7,Yes,Yes
28,8192,20,Male,Finance,Analyst,13,3,4,1,No,No
25,4968,0,Female,Sales,Executive,36,1,1,4,Yes,Yes
35,19755,12,Female,Finance,Engineer,3,3,3,1,No,No
26,7705,0,Male,HR,Sales Rep,41,1,1,8,Yes,Yes
52,11919,8,Female,HR,Manager,13,3,3,0,No,No
26,8579,3,Male,Finance,Analyst,10,4,4,2,No,No
21,5230,2,Male,HR,Analyst,28,1,1,4,Yes,Yes
50,11009,6,Female,Sales,Executive,7,3,4,2,No,No
24,5440,3,Female,Finance,Executive,42,1,1,6,Yes,Yes
29,3092,2,Male,Sales,Sales Rep,39,1,1,7,Yes,Yes
33,4238,0,Female,Sales,Executive,47,1,1,9,Yes,Yes
21,6025,3,Female,R&D,Analyst,28,1,1,7,Yes,Yes
30,7021,2,Male,Sales,Sales Rep,32,1,1,6,Yes,Yes
26,15575,5,Male,Sales,Manager,14,3,3,2,No,No
49,17143,7,Female,Finance,Analyst,1,3,4,2,No,No
29,12627,16,Male,HR,Analyst,8,3,4,0,No,No
26,6467,0,Male,R&D,Analyst,44,1,1,6,Yes,Yes
50,13765,5,Female,R&D,Manager,3,4,3,1,No,No
32,14067,6,Male,Sales,Manager,2,4,4,2,No,No
36,13765,21,Female,HR,Analyst,6,4,4,0,No,No
30,7464,2,Female,HR,Analyst,44,1,1,6,Yes,Yes
32,6654,3,Female,R&D,Executive,27,1,1,7,Yes,Yes
29,8768,10,Female,Sales,Analyst,1,4,3,2,No,No
26,8031,5,Female,R&D,Engineer,8,4,3,1,No,No
29,18866,17,Male,HR,Analyst,5,4,4,0,No,No
27,3240,1,Female,Finance,Executive,49,1,1,4,Yes,Yes
34,7564,3,Female,Sales,Sales Rep,46,1,1,9,Yes,Yes
26,15874,9,Female,Sales,Manager,2,3,4,0,No,No
37,9951,13,Female,Finance,Analyst,4,4,4,2,No,No
53,11387,22,Female,HR,Analyst,11,3,3,2,No,No
33,4469,3,Female,Sales,Sales Rep,45,1,1,9,Yes,Yes
26,4000,3,Female,R&D,Analyst,37,1,1,4,Yes,Yes
40,16468,22,Male,Finance,Analyst,5,3,4,0,No,No
49,13630,8,Female,HR,Analyst,9,4,3,0,No,No
36,9709,21,Female,HR,Executive,7,4,3,0,No,No
23,6674,2,Male,HR,Executive,29,1,1,5,Yes,Yes
33,7215,2,Male,Sales,Analyst,25,1,1,9,Yes,Yes
44,7967,6,Male,R&D,Analyst,6,3,4,2,No,No
49,10444,10,Male,Finance,Analyst,2,4,4,0,No,No
26,3340,1,Male,R&D,Analyst,26,1,1,9,Yes,Yes
34,3096,2,Female,HR,Sales Rep,40,1,1,5,Yes,Yes
25,5866,2,Male,R&D,Analyst,26,1,1,8,Yes,Yes
34,19092,14,Female,Sales,Engineer,14,3,3,1,No,No
44,15113,13,Female,Sales,Manager,5,3,3,1,No,No
32,19067,4,Male,R&D,Executive,7,4,4,0,No,No
41,14774,21,Male,R&D,Executive,8,3,3,1,No,No
25,6411,2,Male,Finance,Analyst,46,1,1,5,Yes,Yes
25,7798,1,Male,R&D,Analyst,33,1,1,8,Yes,Yes
24,3371,0,Male,HR,Sales Rep,45,1,1,7,Yes,Yes
40,8685,23,Female,Sales,Analyst,5,4,4,2,No,No
49,12830,24,Male,R&D,Manager,4,3,3,1,No,No
25,18793,17,Male,HR,Manager,7,4,4,2,No,No
29,3531,1,Female,HR,Executive,45,1,1,6,Yes,Yes
42,10677,20,Female,Finance,Engineer,3,3,3,2,No,No
36,7256,17,Female,Sales,Manager,14,3,4,1,No,No
33,4809,3,Female,Finance,Executive,30,1,1,6,Yes,Yes
44,12733,17,Female,R&D,Manager,5,4,3,2,No,No
27,11359,21,Female,R&D,Engineer,14,4,4,1,No,No
28,5260,0,Male,HR,Sales Rep,31,1,1,5,Yes,Yes
22,4652,1,Male,Sales,Sales Rep,47,1,1,6,Yes,Yes
23,6704,1,Male,Finance,Executive,49,1,1,6,Yes,Yes
42,6703,8,Male,Sales,Manager,9,3,4,0,No,No
50,10138,7,Male,R&D,Executive,5,3,4,0,No,No
31,7658,3,Male,Finance,Executive,44,1,1,7,Yes,Yes
30,4017,2,Female,Finance,Analyst,28,1,1,5,Yes,Yes
23,5739,3,Female,Sales,Executive,44,1,1,8,Yes,Yes
51,17857,15,Female,HR,Executive,10,4,3,2,No,No
